,Year,Mon,Month,PRCP,TMAX,TMIN,RH,EVP,TSUN,U2,PET,SPI
224,Aug-79,8,AUG,196.2,30.2,20.8,85,3.2,4,7,150.9693014,0.69521242
225,Sep-79,9,SEP,238.1,30.1,21.7,86,2.6,5.4,5,138.0772669,0.29595242
226,Oct-79,10,OCT,160,31.1,21.9,84,3,6.2,5,156.918987,0.287991278
227,Nov-79,11,NOV,17.5,34.2,20.8,79,5.2,7.3,3,160.1945138,0.691152327
228,Dec-79,12,DEC,0,33.3,19.2,62,10.6,7.4,4,173.2107783,0.604585347
229,Jan-80,1,JAN,0,33.9,19.9,75,7.2,7.1,7,209.580779,0.253347103
230,Feb-80,2,FEB,18.8,35.2,22.8,69,9.5,6.6,5,167.0816431,0.765285407
231,Mar-80,3,MAR,3.6,35.9,23.9,71,8.8,7.7,5,196.4544758,-1.695530305
232,Apr-80,4,APR,44.4,33.1,22.8,72,7.6,6.9,6,180.7333559,-1.180423303
233,May-80,5,MAY,135.2,32.3,21.9,79,4.5,6.6,7,184.1204646,-0.253437526
234,Jun-80,6,JUN,214.7,29.8,21.7,81,3.7,6.4,6,132.7365843,0.417902372
235,Jul-80,7,JUL,123.9,29.1,20.9,85,3,3.6,6,140.4602669,-0.322220225
236,Aug-80,8,AUG,280.1,28.9,21.1,85,2.5,4,7,143.414721,1.368210638
237,Sep-80,9,SEP,214.6,30.3,21.2,86,2.5,4.5,5,154.6716578,-0.008644806
238,Oct-80,10,OCT,197.3,33.2,21.8,82,2.9,6.1,5,185.0131043,0.673656449
239,Nov-80,11,NOV,2.9,34.9,22.2,75,5.5,6.6,5,191.7825506,0.175381798
240,Dec-80,12,DEC,1.6,33.3,16.4,56,8.1,6.5,4,186.9160317,0.828370221
241,Jan-81,1,JAN,0,34.1,19.2,56,9.5,7.1,3,160.974565,0.253347103
242,Feb-81,2,FEB,0,35.3,22.3,63,11.1,7.4,4,168.1249986,-0.253347103
243,Mar-81,3,MAR,117.7,34.2,22.9,73,8,6.8,6,195.7219421,1.89077069
244,Apr-81,4,APR,86.3,34.3,22.8,74,6.6,7.3,7,197.3146752,-0.216468633
245,May-81,5,MAY,265.8,33.3,22.3,80,4,6.7,6,163.4165685,1.42390016
246,Jun-81,6,JUN,225.8,30.2,22.1,83,3.5,6.6,5,119.6946214,0.566859328
247,Jul-81,7,JUL,163.3,28.3,20.9,86,3.2,3.6,5,120.487405,0.23651803
248,Aug-81,8,AUG,76.8,28.2,20.8,87,2.7,3.1,4,139.2595414,-0.734229193
249,Sep-81,9,SEP,252.9,29.3,20.9,85,2.7,4.7,5,135.6187332,0.477650273
250,Oct-81,10,OCT,98.3,31.2,22.2,82,3,6.8,4,158.5002559,-0.511737831
251,Nov-81,11,NOV,0,32.2,19.3,61,7.9,6.4,4,170.4169948,-0.253347103
252,Dec-81,12,DEC,0,31.9,20.1,76,6.9,7.3,3,151.2372321,0.604585347
253,Jan-82,1,JAN,8,34.1,20.2,49,9.9,8,4,158.1204696,0.892042795
254,Feb-82,2,FEB,28.9,36.3,22.1,58,8.8,6,3,139.250469,1.078301425
255,Mar-82,3,MAR,22.2,34.9,22.9,68,7.7,6.3,6,191.1884325,-0.602069438
256,Apr-82,4,APR,141.8,35.3,22.7,76,6,6.6,6,200.6326435,0.64798404
257,May-82,5,MAY,150.6,35.2,22.5,81,3.4,6.5,7,220.6170489,-0.010798951
258,Jun-82,6,JUN,127.2,30.9,21.9,82,3,5,5,137.0567306,-0.990877662
259,Jul-82,7,JUL,76.7,30.2,20.9,85,2.8,3.4,6,153.3666431,-1.184170983
260,Aug-82,8,AUG,182.5,30.1,20.7,84,2.9,2.6,5,164.7208018,0.568461236
261,Sep-82,9,SEP,247.8,30,20.6,86,2.1,3.8,4,137.3218801,0.415852353
262,Oct-82,10,OCT,229.4,32.2,21.3,84,2.2,6.2,4,168.2620521,0.968931823
263,Nov-82,11,NOV,0,33.9,20.3,70,4.9,6.7,4,181.728187,-0.253347103
264,Dec-82,12,DEC,0,34.1,20.1,65,6.6,6.8,3,167.7931251,0.604585347
265,Jan-83,1,JAN,0,33.3,17.2,23,13.5,3.1,5,180.7185957,0.253347103
266,Feb-83,2,FEB,8.6,35.1,21.5,57,9.8,6.5,5,160.4756178,0.354152646
267,Mar-83,3,MAR,15,34.9,22.9,52,11.6,5.9,6,183.5804313,-0.979200956
268,Apr-83,4,APR,92.3,34.2,23.6,74,6.3,7.2,7,176.3815333,-0.107571252
269,May-83,5,MAY,175.1,32.1,22.8,77,4.5,7,5,164.7653533,0.34304183
270,Jun-83,6,JUN,146.2,30.3,21.9,81,3.3,4.4,6,157.4229597,-0.639088967
271,Jul-83,7,JUL,91.8,29.1,21.1,84,2.9,3.5,6,151.770259,-0.875811128
272,Aug-83,8,AUG,215.9,27.9,20.6,87,2.5,2.5,5,125.4484685,0.867754012
273,Sep-83,9,SEP,228.3,30.1,20.8,84,2.5,5.2,5,141.6927677,0.171478604
274,Oct-83,10,OCT,34,32.2,21.6,77,4.2,6.2,5,175.252152,-1.900661619
275,Nov-83,11,NOV,1.7,34.3,23.1,72,5.8,7.8,3,162.5561877,0.085598398
276,Dec-83,12,DEC,148.3,33.3,21.3,76,4.4,7.3,3,163.6979949,2.386374537
277,Jan-84,1,JAN,0,33.1,18.2,56,9,5.6,3,149.3473341,0.253347103
278,Feb-84,2,FEB,0,35.3,22.3,68,10.5,7,4,157.1479779,-0.253347103
279,Mar-84,3,MAR,83.5,35.1,23.9,73,6.6,7.1,6,194.8426093,1.240545476
280,Apr-84,4,APR,88.3,33.9,22.8,79,5,6.2,6,192.5373611,-0.179613229
281,May-84,5,MAY,139.9,31.8,21.7,77,3.6,6.4,8,189.8171071,-0.17749312
282,Jun-84,6,JUN,214.3,30,21.3,80,3.1,6.6,6,146.7050103,0.412440629
283,Jul-84,7,JUL,267.3,29.1,20.9,83,2.6,5.2,5,141.6097021,1.373535272
284,Aug-84,8,AUG,272.5,29.3,21.7,85,2.8,5.3,5,138.0758533,1.31306426
285,Sep-84,9,SEP,158.8,29,20.8,83,2.5,5.2,4,133.3485195,-0.835037536
286,Oct-84,10,OCT,83.3,31.1,21.7,81,3.1,5.3,4,149.3327368,-0.756871661
287,Nov-84,11,NOV,2.6,35.2,21.9,70,5.6,6.5,4,166.2234731,0.155286672
288,Dec-84,12,DEC,0,33.4,19.2,58,7.6,4.8,3,158.5477336,0.604585347
289,Jan-85,1,JAN,0.8,34,22.2,64,7.7,4.9,4,157.9267363,0.469674283
290,Feb-85,2,FEB,0,35,19.6,43,12.7,5,4,163.3085832,-0.253347103
291,Mar-85,3,MAR,51.3,37,24.6,68,7.8,3.1,6,202.4474651,0.452661145
292,Apr-85,4,APR,57.6,34,23.6,76,4.8,5.1,7,183.7130258,-0.825446464
293,May-85,5,MAY,175.6,32,23.5,77,4.7,6.3,6,172.242036,0.349909345
294,Jun-85,6,JUN,184.9,31,21.2,83,2.9,5,5,153.0392099,-0.009070407
295,Jul-85,7,JUL,251.1,28,21.1,83,2.8,4.5,7,126.5362995,1.218112661
296,Aug-85,8,AUG,89.9,28,22.2,86,2.7,4.5,7,127.183186,-0.52282469
297,Sep-85,9,SEP,293.1,30,20.9,84,2.1,4.2,4,140.6687327,0.938238291
298,Oct-85,10,OCT,20.5,32,20.8,78,4.1,5.8,3,150.4220405,-2.43987524
299,Nov-85,11,NOV,8.5,35,22.1,75,5.7,7.7,3,169.8125039,0.434133423
300,Dec-85,12,DEC,0,33,18.3,45,9.2,5.3,2,133.232282,0.604585347
301,Jan-86,1,JAN,5.5,33.6,22.2,65,7.7,5.9,3,144.9667741,0.787114831
302,Feb-86,2,FEB,90.7,35.5,22.9,75,6.6,7.8,4,167.3062096,2.329762222
303,Mar-86,3,MAR,108.4,34.6,23.3,74,5.5,6.5,5,181.5285572,1.726858026
304,Apr-86,4,APR,58.3,32.3,23.2,75,4.9,7.4,6,171.2714559,-0.808312459
305,May-86,5,MAY,97.5,30.8,23.3,76,4.2,6.5,5,153.286527,-0.93976057
306,Jun-86,6,JUN,264,31.1,21.2,82,3.5,6.1,4,149.395987,1.045485514
307,Jul-86,7,JUL,126.9,28.8,21.1,86,2.6,3.1,5,124.412316,-0.275766156
308,Aug-86,8,AUG,153.7,27.9,21.3,84,2.6,3.9,5,121.8434054,0.280015248
309,Sep-86,9,SEP,195.7,30.1,21.1,85,2.3,3.7,5,139.1463456,-0.270249697
310,Oct-86,10,OCT,220.9,30.3,21,83,2.7,6,2,135.0921818,0.893492802
311,Nov-86,11,NOV,6.8,33.2,21.2,75,5,6.9,2,142.5634066,0.369972583
312,Dec-86,12,DEC,0,32.9,17.3,47,8.5,6,1,119.475683,0.604585347
313,Jan-87,1,JAN,0,32.5,19.9,63,8.1,5.1,2,130.3679992,0.253347103
314,Feb-87,2,FEB,3.6,36.1,23.8,70,8,8,3.3,156.995217,0.074421299
315,Mar-87,3,MAR,68.4,36.5,22.7,66,8,6.2,3.4,188.672801,0.900319877
316,Apr-87,4,APR,19.6,35,24.9,71,7.9,6.8,6.3,189.6172893,-2.146457903
317,May-87,5,MAY,79.4,32.1,23.6,72,6.1,7.9,5,175.9766095,-1.336995911
318,Jun-87,6,JUN,183.7,29.9,22.8,79,3.4,6.6,5.3,136.2444115,-0.027196308
319,Jul-87,7,JUL,176.3,28.9,21.9,84,3.1,4.8,5.6,134.5500841,0.400791876
320,Aug-87,8,AUG,338.3,27.7,21.5,86,2.3,4.3,4.9,122.6894451,1.762274584
321,Sep-87,9,SEP,238.6,28.2,20.6,84,2.7,4.9,4.4,129.5891103,0.302211152
322,Oct-87,10,OCT,105.8,30.9,21.7,83,3.8,6.4,4,154.3327863,-0.398838989
323,Nov-87,11,NOV,0,31.8,21.2,73,7.5,5.2,4.4,159.2815095,-0.253347103
324,Dec-87,12,DEC,0,33.8,19.3,58,8.7,8.1,5.1,186.9393858,0.604585347
325,Jan-88,1,JAN,73.3,32.8,20.9,56,8.8,6.1,3.6,142.3685895,2.158575021
326,Feb-88,2,FEB,26.2,35.7,22.8,70,8,5.7,6.2,190.5898418,1.000591249
327,Mar-88,3,MAR,48.3,34.9,23.6,75,6.8,7.7,6.2,203.6653093,0.364866491
328,Apr-88,4,APR,103.2,34.2,22.7,75,5.6,7.3,6.5,179.4108955,0.078586628
329,May-88,5,MAY,169.1,32.2,22.6,79,4.2,7.4,4.5,172.4979874,0.259598777
330,Jun-88,6,JUN,196.3,27.6,22.3,82,3,7,5.2,122.1453176,0.159327785
331,Jul-88,7,JUL,69.2,28.8,21.9,84,3.4,4,5.6,133.408609,-1.353560858
332,Aug-88,8,AUG,59.6,28.5,20.8,83,3.4,2.4,5.7,126.6814228,-1.054743901
333,Sep-88,9,SEP,107.7,29.3,20.6,83,2.9,4.5,4.1,137.2107754,-1.792158892
334,Oct-88,10,OCT,43.1,31.2,21.8,80,3.7,6.3,4.2,160.5825324,-1.624187019
335,Nov-88,11,NOV,2.6,32.2,22.2,77,6.9,7.7,3,149.157919,0.155286672
336,Dec-88,12,DEC,0.3,33.3,20.3,59,8.4,7.3,1.3,134.4476615,0.717558457
337,Jan-89,1,JAN,0,33.1,16.2,24,12.4,6.5,3.8,180.2834862,0.253347103
338,Feb-89,2,FEB,0,36.5,19.8,36,13.5,5.3,3.3,165.1474921,-0.253347103
339,Mar-89,3,MAR,46.5,36.3,22.9,71,7.9,6.7,6.2,221.1548425,0.310545767
340,Apr-89,4,APR,54.6,33.3,22.6,76,6.5,7.2,6.2,185.5731444,-0.900589401
341,May-89,5,MAY,42.7,31.5,21.9,77,4.3,7.1,5,165.3063785,-2.404979611
342,Jun-89,6,JUN,199.5,30.2,21.1,83,3.4,6.6,6,155.1620763,0.205420338
343,Jul-89,7,JUL,95.8,28.2,20.9,81,3.3,5.1,6.1,124.5670963,-0.800161421
344,Aug-89,8,AUG,119,28.2,20.7,86,2.9,3.2,6.5,130.3772305,-0.120219214
345,Sep-89,9,SEP,121.3,29.6,20.6,86,2.8,3.9,2.9,123.2127556,-1.510835099
346,Oct-89,10,OCT,115.2,30.3,21.8,82,3.4,7.2,3.6,149.9263907,-0.264863047
347,Nov-89,11,NOV,0,33.1,20.6,69,7.9,7.8,2.7,158.0177987,-0.253347103
348,Dec-89,12,DEC,0,32.8,19.2,57,8,8.4,2.3,149.6268894,0.604585347
349,Jan-90,1,JAN,0,33.5,22,61,8.1,6.5,3.2,148.7197022,0.253347103
350,Feb-90,2,FEB,5.4,35.8,20.5,46,11.6,7.8,4.4,185.7823276,0.185662129
351,Mar-90,3,MAR,0,35.5,22.6,48,13.6,7.2,6,225.0196854,-1.794538416
352,Apr-90,4,APR,80.1,34.4,22.8,76,6.6,6.9,6.8,195.5820753,-0.334562354
353,May-90,5,MAY,144.8,31.5,21.7,82,3.9,7.8,6.1,183.9226701,-0.100128952
354,Jun-90,6,JUN,132.4,30.5,21.6,86,3.5,6,4.8,150.6853381,-0.8911952
355,Jul-90,7,JUL,185,28.7,21.9,87,2.5,5.5,4.9,126.5198375,0.506300366
356,Aug-90,8,AUG,86.1,28.6,20.6,88,2.4,3.9,5.5,131.6859573,-0.581793896
357,Sep-90,9,SEP,261.4,29.5,20.8,88,2.4,4.4,3.3,127.5878576,0.578844764
358,Oct-90,10,OCT,61.4,30.9,21.6,50,3.3,7.2,3.8,154.435612,-1.178268223
359,Nov-90,11,NOV,16.9,32.4,22.9,77,5.2,8.2,3.5,155.7448319,0.676739381
360,Dec-90,12,DEC,46.6,33.4,22.2,76,6.1,8.3,2.7,153.0343789,1.607444811
361,Jan-91,1,JAN,3.1,34.5,20.8,64,8.1,6.8,2.3,147.8202269,0.660066531
362,Feb-91,2,FEB,19.7,36,23.3,73,7.3,7.4,2.5,151.8511878,0.795986425
363,Mar-91,3,MAR,92.1,35.8,23.8,75,6.4,6.7,5.7,201.2030533,1.417484611
364,Apr-91,4,APR,128,34.2,22.6,77,4.7,7.4,5.1,193.4923862,0.457768519
365,May-91,5,MAY,355.7,31.9,22.3,82,2.7,6,4.4,160.570059,2.280206058
366,Jun-91,6,JUN,119,30.9,22,83,3.1,6.9,5.5,156.0585409,-1.153956841
367,Jul-91,7,JUL,325.9,29.3,21.4,86,2.3,4,5.7,134.7218814,1.890400294
368,Aug-91,8,AUG,138.8,28.7,21.3,87,2.4,2.7,6.4,126.8870238,0.116481988
369,Sep-91,9,SEP,112.7,29,21.5,86,2.5,5.1,4.5,133.3049479,-1.685964627
370,Oct-91,10,OCT,172.9,31,21.1,83,1.1,4.5,3.1,146.5685143,0.427493124
371,Nov-91,11,NOV,0.5,33.3,21.5,75,5.6,7.6,2.7,153.6292716,-0.055971599
372,Dec-91,12,DEC,0,33.9,19.1,55,8.7,5.7,3.5,162.0290023,0.604585347
373,Jan-92,1,JAN,0,33.1,17.7,42,12.4,3.7,2.4,139.3848552,0.253347103
374,Feb-92,2,FEB,0,34.3,20.5,45,13.8,7.3,2.9,132.7591104,-0.253347103
375,Mar-92,3,MAR,0,36.1,23.9,68,9.1,4.4,6.5,202.5212166,-1.794538416
376,Apr-92,4,APR,41.5,33.9,23.5,69,6.6,6.3,5.9,183.8660532,-1.268340771
377,May-92,5,MAY,140.4,32.2,22.8,78,4.3,6.5,4.6,144.7991166,-0.169515919
378,Jun-92,6,JUN,72.5,30.2,21.6,78,3.5,6.4,4.9,125.5209663,-2.270389259
379,Jul-92,7,JUL,116.3,28.4,21.6,83,3,4.3,6.7,132.4518234,-0.443438992
380,Aug-92,8,AUG,49.2,28,21.3,83,3.1,2.9,6.6,120.2989599,-1.282426339
381,Sep-92,9,SEP,289.7,29.3,21,85,2.5,4.1,5.5,139.9054863,0.9009481
382,Oct-92,10,OCT,166.4,30.5,20.9,81,3,6.4,4.5,156.200929,0.358096458
383,Nov-92,11,NOV,55.6,32.8,20.2,63,5.7,7.1,3.9,166.869112,1.324541366
384,Dec-92,12,DEC,0,33.6,18.7,61,7.3,7.8,3.4,170.4866825,0.604585347
385,Jan-93,1,JAN,0,34.1,18.2,43,11.3,6.1,3.8,176.3820038,0.253347103
386,Feb-93,2,FEB,3.6,35.3,21.3,60,10.4,7.5,4.8,176.0195693,0.074421299
387,Mar-93,3,MAR,52,34.2,22.3,65,7.9,7.3,5.4,193.2285394,0.472682378
388,Apr-93,4,APR,27.8,34.3,23.5,70,6.5,7,6.5,169.554995,-1.758150225
389,May-93,5,MAY,141.4,32.4,23,79,4,6.8,6.2,184.3294029,-0.153618835
390,Jun-93,6,JUN,130.6,31.1,21.9,82,2.9,5.8,6,159.5351147,-0.92539015
391,Jul-93,7,JUL,146.5,28.7,21.3,86,2.8,4,6.8,135.6776387,0.010781745
392,Aug-93,8,AUG,193.5,28.1,21.1,85,2.3,4.1,7,127.9161329,0.670700274
393,Sep-93,9,SEP,234.8,30,20.8,86,2.2,5.1,5.6,150.8273438,0.254424456
394,Oct-93,10,OCT,202.3,31.2,21.3,82,2.7,6.7,4.8,163.3529871,0.721603231
395,Nov-93,11,NOV,25.4,35,18,60,4.4,8,5.1,209.4063812,0.860064872
396,Dec-93,12,DEC,0,34.5,19.4,54,7.3,6.9,3.5,230.1934251,0.604585347
397,Jan-94,1,JAN,39.3,33.5,20.1,57,7.6,5.4,4.8,168.2183189,1.646798569
398,Feb-94,2,FEB,0,33.9,22,63,8.9,5.9,5,156.3797104,-0.253347103
399,Mar-94,3,MAR,19.8,35.1,23.8,69,7.5,8,6.1,187.365615,-0.719785614
400,Apr-94,4,APR,223,33.2,23.3,77,5,7,7.1,173.317875,1.576800242
401,May-94,5,MAY,156,30.9,22.2,79,3.3,7,5.3,150.6743439,0.070318711
402,Jun-94,6,JUN,131.2,30.1,21.8,81,3.2,6.6,4.9,127.0413341,-0.913955962
403,Jul-94,7,JUL,89.6,29.3,21.8,84,2.5,4,6.4,135.9456558,-0.918403121
404,Aug-94,8,AUG,87,29,21.5,82,2.6,3.6,5.9,131.0345878,-0.567665879
405,Sep-94,9,SEP,260.6,28.9,21.8,83,2.5,4.9,3.6,126.897452,0.569413838
406,Oct-94,10,OCT,235.5,30.8,21.3,83,2.4,5.9,3.9,154.3403417,1.021967407
407,Nov-94,11,NOV,0,33.8,19.4,63,6.7,8.4,3.1,161.0312909,-0.253347103
408,Dec-94,12,DEC,0,34.1,16.2,39,9.7,7.7,2.9,163.9856016,0.604585347
409,Jan-95,1,JAN,0,34.4,17.7,37,10.6,6.3,5,204.6729222,0.253347103
410,Feb-95,2,FEB,2.1,34.7,20.7,45,11,7.9,5.1,183.9038089,-0.033509749
411,Mar-95,3,MAR,33.3,36.9,23.2,72,7.3,7.4,5,204.3842098,-0.134776742
412,Apr-95,4,APR,122,34.4,22.8,73,5.7,4.7,7,205.8762495,0.370846292
413,May-95,5,MAY,209.6,33,22.7,81,3.5,7.1,5.7,187.8201339,0.789533009
414,Jun-95,6,JUN,171.3,30.6,22.1,84,2.9,6.4,4.9,146.6828746,-0.219325436
415,Jul-95,7,JUL,218.7,29.7,21.7,85,2.4,4.2,6.6,142.5515194,0.886754666
416,Aug-95,8,AUG,232.1,28.6,22.1,87,2.2,2.7,3,109.5550325,1.002164059
417,Sep-95,9,SEP,188.5,30,21.8,85,2.4,5.6,2,123.5502482,-0.374384018
418,Oct-95,10,OCT,154.6,30.9,21.9,82,2.9,5.9,2,147.7128663,0.227376743
419,Nov-95,11,NOV,46.8,35,19.1,84,5.6,7.9,1,142.9554095,1.207510483
420,Dec-95,12,DEC,30.2,34.4,20.4,70,5.1,8.4,4.2,169.3190193,1.420000875
421,Jan-96,1,JAN,0,34.2,21.2,76,7.2,8.3,4.6,180.8553043,0.253347103
422,Feb-96,2,FEB,0.9,35.9,23.2,66,8.2,8.4,5.5,189.0629605,-0.138164309
423,Mar-96,3,MAR,61.4,37.2,23.4,69,7.3,7.4,7.2,231.9395031,0.726617691
424,Apr-96,4,APR,25.8,35.5,23.4,69,5.9,6.5,6.7,206.3705709,-1.843926118
425,May-96,5,MAY,143.2,33.2,22.2,77,4.3,5.9,6.2,197.4064191,-0.125194054
426,Jun-96,6,JUN,152.8,31,22.1,79,4.2,6.1,4.8,151.4503794,-0.524247495
427,Jul-96,7,JUL,104.2,29.7,21.7,80,3.1,4.9,5.6,139.1547175,-0.648168618
428,Aug-96,8,AUG,131.4,28.4,21.5,85,2.7,2.9,7,134.9731535,0.030862035
429,Sep-96,9,SEP,262.7,29.7,21.5,85,2.4,5.5,5,138.2695497,0.594129586
430,Oct-96,10,OCT,62.9,32.7,21.5,79,3.4,5.8,5,175.9422403,-1.146250702
431,Nov-96,11,NOV,0,35.5,16.6,56,8,7.7,3,184.3216098,-0.253347103
432,Dec-96,12,DEC,0,35.2,19.8,73,7.2,8.3,3.9,186.696673,0.604585347
433,Jan-97,1,JAN,0,32.3,20.1,64,8,6.5,3.9,154.917553,0.253347103
434,Feb-97,2,FEB,0,36.5,19.1,30,12.8,7.2,3.3,166.7490297,-0.253347103
435,Mar-97,3,MAR,50.7,36.7,23.1,61,8.1,7.9,5.6,195.475197,0.43536386
436,Apr-97,4,APR,179.5,34,22.4,77,4.8,7.4,6.6,197.9204545,1.112744225
437,May-97,5,MAY,216.9,33.5,22.5,80,3.2,5.4,6.1,196.5318691,0.877713413
438,Jun-97,6,JUN,229.5,31.7,21.7,85,2.7,6.6,5.6,158.0124968,0.615437263
439,Jul-97,7,JUL,102.9,29.5,21.3,83,3,4.8,6,144.4491316,-0.671121997
440,Aug-97,8,AUG,86,28.5,21.9,84,2.7,3.3,7,129.5537214,-0.583370034
441,Sep-97,9,SEP,334.8,29.8,21,84,2.6,4.8,5,139.4054917,1.374315021
442,Oct-97,10,OCT,121.7,31.6,22,79,2.8,6.1,5,160.7662928,-0.176536309
